"Date(UTC)","UnixTimeStamp","Value"
"6/23/2023","1687478400","120238420.599600217792405283"
"6/24/2023","1687564800","120238847.920865122456124732"
"6/25/2023","1687651200","120239460.837511954436285572"
"6/26/2023","1687737600","120239955.782210865784760055"
"6/27/2023","1687824000","120240049.596761354095783352"
"6/28/2023","1687910400","120240014.468034073132263638"
"6/29/2023","1687996800","120238629.149269583777481601"
"6/30/2023","1688083200","120237549.449725118521942527"
"7/1/2023","1688169600","120237747.219781385449113108"
"7/2/2023","1688256000","120238218.131185222743916009"
"7/3/2023","1688342400","120238044.844511912171096286"
"7/4/2023","1688428800","120237031.064848189768460427"
"7/5/2023","1688515200","120233811.875365504838779299"
"7/6/2023","1688601600","120231641.047845533274675025"
"7/7/2023","1688688000","120230354.659440862809381294"
"7/8/2023","1688774400","120230377.255243899303050436"
"7/9/2023","1688860800","120230596.242341310499924748"
"7/10/2023","1688947200","120230365.471397138471732089"
"7/11/2023","1689033600","120230106.290642462428912599"
"7/12/2023","1689120000","120229283.043873107342360258"
"7/13/2023","1689206400","120227923.023098035606310918"
"7/14/2023","1689292800","120227400.071365361260048505"
"7/15/2023","1689379200","120227958.672041963765816251"
"7/16/2023","1689465600","120228346.479317314855589661"
"7/17/2023","1689552000","120228125.788998000970787393"
"7/18/2023","1689638400","120227032.866928711149404228"
"7/19/2023","1689724800","120226435.811135992795189497"
"7/20/2023","1689811200","120225721.525948065384877351"
"7/21/2023","1689897600","120224796.595198422652522631"
"7/22/2023","1689984000","120224908.201925902184088727"
"7/23/2023","1690070400","120224904.494235406872090021"
"7/24/2023","1690156800","120223630.174403790641485654"
"7/25/2023","1690243200","120222609.512160573818902059"
"7/26/2023","1690329600","120221911.849938218623028268"
"7/27/2023","1690416000","120220745.794673701181140584"
"7/28/2023","1690502400","120218921.255383138422301436"
"7/29/2023","1690588800","120218742.647537797288917292"
"7/30/2023","1690675200","120218751.651462269221549258"
"7/31/2023","1690761600","120218326.594033593231432047"
"8/1/2023","1690848000","120218008.945582061804354456"
"8/2/2023","1690934400","120217582.501573648762944146"
"8/3/2023","1691020800","120217306.692412988699229196"
"8/4/2023","1691107200","120217362.703471820490809465"
"8/5/2023","1691193600","120217764.067805802420961661"
"8/6/2023","1691280000","120218339.485019801762093608"
"8/7/2023","1691366400","120217977.508531915159044133"
"8/8/2023","1691452800","120217541.772798568077432393"
"8/9/2023","1691539200","120217323.708502404801714892"
"8/10/2023","1691625600","120217074.645868496250390752"
"8/11/2023","1691712000","120217210.430672189372778936"
"8/12/2023","1691798400","120217828.214995999214337660"
"8/13/2023","1691884800","120218462.991617951091545261"
"8/14/2023","1691971200","120218361.987092868301781130"
"8/15/2023","1692057600","120217769.888059267973265217"
"8/16/2023","1692144000","120216714.898895847439101019"
"8/17/2023","1692230400","120214770.039248215820325960"
"8/18/2023","1692316800","120214262.788723691065635742"
"8/19/2023","1692403200","120214863.517254294811390795"
"8/20/2023","1692489600","120214919.845850225311645718"
"8/21/2023","1692576000","120217436.839000266499674905"
"8/22/2023","1692662400","120216348.043792630952997259"
"8/23/2023","1692748800","120216170.988006722622001266"
"8/24/2023","1692835200","120216213.421001420351266164"
"8/25/2023","1692921600","120215942.522751968314940037"
"8/26/2023","1693008000","120216722.873446622465991310"
"8/27/2023","1693094400","120217539.181376266578958534"
"8/28/2023","1693180800","120216928.062892100047346918"
"8/29/2023","1693267200","120215749.854195445002576399"
"8/30/2023","1693353600","120215470.319140963916443596"
"8/31/2023","1693440000","120215297.591893353262201888"
"9/1/2023","1693526400","120215601.623462965624485854"
"9/2/2023","1693612800","120216505.850649846127717760"
"9/3/2023","1693699200","120217465.359075041711153245"
"9/4/2023","1693785600","120217962.901958304834488259"
"9/5/2023","1693872000","120218303.235000907134912269"
"9/6/2023","1693958400","120218472.669984197291788811"
"9/7/2023","1694044800","120218711.934256361356996323"
"9/8/2023","1694131200","120219263.931988205647034272"
"9/9/2023","1694217600","120220341.396483259261781451"
"9/10/2023","1694304000","120221559.007353008578940301"
"9/11/2023","1694390400","120221498.387086131408174281"
"9/12/2023","1694476800","120222067.175902789117006640"
"9/13/2023","1694563200","120222348.069225147971918456"
"9/14/2023","1694649600","120222604.155909603877354888"
"9/15/2023","1694736000","120223100.037325784256551508"
"9/16/2023","1694822400","120224175.848749151078896853"
"9/17/2023","1694908800","120225198.326017200944401598"
"9/18/2023","1694995200","120225983.511391363212068326"
"9/19/2023","1695081600","120226879.142183359205648691"
"9/20/2023","1695168000","120227563.898423367388828563"
"9/21/2023","1695254400","120227864.486422573582802049"
"9/22/2023","1695340800","120228666.172720472224505560"
"9/23/2023","1695427200","120229772.768244885689805437"
"9/24/2023","1695513600","120230987.330226928943343215"
"9/25/2023","1695600000","120232135.486327974886491780"
"9/26/2023","1695686400","120233636.667438300390068150"
"9/27/2023","1695772800","120234706.135037156646402042"
"9/28/2023","1695859200","120235800.231485190107169139"
"9/29/2023","1695945600","120237067.761500173116010151"
"9/30/2023","1696032000","120238406.439711770689127238"
"10/1/2023","1696118400","120239876.738449221587063835"
"10/2/2023","1696204800","120240498.601290504493193564"
"10/3/2023","1696291200","120241615.830286781778837837"
"10/4/2023","1696377600","120242832.987979285181908716"
"10/5/2023","1696464000","120244208.524214771732154978"
"10/6/2023","1696550400","120245616.651071141437846353"
"10/7/2023","1696636800","120247289.910519322727512618"
"10/8/2023","1696723200","120248972.479479779561028814"
"10/9/2023","1696809600","120250319.097191744223017363"
"10/10/2023","1696896000","120251842.686515273002810735"
"10/11/2023","1696982400","120253341.573800826048554755"
"10/12/2023","1697068800","120254701.023416991768434433"
"10/13/2023","1697155200","120256139.843399437263017412"
"10/14/2023","1697241600","120257904.629197021692058904"
"10/15/2023","1697328000","120259529.105157283303532021"
"10/16/2023","1697414400","120260685.472672251749298958"
"10/17/2023","1697500800","120262033.171883567044970990"
"10/18/2023","1697587200","120263353.502100773945146816"
"10/19/2023","1697673600","120264741.468641667742706542"
"10/20/2023","1697760000","120265598.086332222703011773"
"10/21/2023","1697846400","120266968.366371935209823089"
"10/22/2023","1697932800","120268517.906871059954485117"
"10/23/2023","1698019200","120268592.889903285099071729"
"10/24/2023","1698105600","120268057.474471914226487945"
"10/25/2023","1698192000","120267703.473208442914548180"
"10/26/2023","1698278400","120267397.924962284056906526"
"10/27/2023","1698364800","120267682.335314293154918330"
"10/28/2023","1698451200","120268478.764808041903878001"
"10/29/2023","1698537600","120269356.792288375745099026"
"10/30/2023","1698624000","120269286.140265974964539684"
"10/31/2023","1698710400","120269072.315182190256222245"
"11/1/2023","1698796800","120268561.513295976377367701"
"11/2/2023","1698883200","120268086.199603335009508105"
"11/3/2023","1698969600","120268128.351399711952662169"
"11/4/2023","1699056000","120268682.575269126660875668"
"11/5/2023","1699142400","120268927.081341070799200323"
"11/6/2023","1699228800","120268113.879496966628741021"
"11/7/2023","1699315200","120267489.981192861241453905"
"11/8/2023","1699401600","120266365.685119899833696456"
"11/9/2023","1699488000","120263332.756785599392766629"
"11/10/2023","1699574400","120261557.243490135572012172"
"11/11/2023","1699660800","120260722.280752461561493253"
"11/12/2023","1699747200","120260050.560985317872378658"
"11/13/2023","1699833600","120257479.875646219593858224"
"11/14/2023","1699920000","120255809.445930061864261728"
"11/15/2023","1700006400","120254465.125250255519432011"
"11/16/2023","1700092800","120253165.679179773306677188"
"11/17/2023","1700179200","120252485.756608713325347369"
"11/18/2023","1700265600","120252452.673711536843551247"
"11/19/2023","1700352000","120252583.560358377692315268"
"11/20/2023","1700438400","120250769.537035456767012247"
"11/21/2023","1700524800","120248783.787208244060597349"
"11/22/2023","1700611200","120246909.492265455506667355"
